,Team,Country_ID,Year,Season,City,Sport,Event,Medal
60566,Russia,RUS,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold
60568,Russia,RUS,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Team",Bronze
60572,Russia,RUS,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Gold
60578,Bulgaria,BUL,1980,Summer,Moskva,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze
60589,Norway,NOR,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
60593,Norway,NOR,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
60597,Norway,NOR,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
60618,Kazakhstan,KAZ,2012,Summer,London,Boxing,Boxing Men's Super-Heavyweight,Bronze
60619,Kazakhstan,KAZ,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,Bronze
60621,Poland,POL,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,Bronze
60629,United States,USA,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
60638,United States,USA,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Silver
60639,Switzerland,SUI,1936,Summer,Berlin,Alpinism,Alpinism Mixed Alpinism,Gold
60641,Switzerland,SUI,1936,Summer,Berlin,Alpinism,Alpinism Mixed Alpinism,Gold
60658,Poland,POL,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
60659,Poland,POL,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
60680,Russia,RUS,2000,Summer,Sydney,Shooting,Shooting Women's Skeet,Silver
60690,Soviet Union,URS,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold
60692,United States,USA,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
60695,Sweden,SWE,1920,Summer,Antwerpen,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
60696,Sweden,SWE,1924,Summer,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
60701,Sweden,SWE,1936,Summer,Berlin,Fencing,"Fencing Men's epee, Team",Silver
60717,Soviet Union,URS,1960,Summer,Roma,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
60724,Soviet Union,URS,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
60735,Bulgaria,BUL,2000,Summer,Sydney,Rowing,Rowing Women's Single Sculls,Silver
60736,Bulgaria,BUL,2004,Summer,Athina,Rowing,Rowing Women's Single Sculls,Bronze
60737,Bulgaria,BUL,2008,Summer,Beijing,Rowing,Rowing Women's Single Sculls,Gold
60747,Russia,RUS,2000,Summer,Sydney,Boxing,Boxing Men's Featherweight,Bronze
60767,Soviet Union,URS,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,Bronze
60771,Soviet Union,URS,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
60772,Unified Team,EUN,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
60776,Ukraine,UKR,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
60786,Poland,POL,1996,Summer,Atlanta,Archery,Archery Women's Team,Bronze
60792,United States,USA,1976,Summer,Montreal,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
60823,Soviet Union,URS,1972,Summer,Munich,Football,Football Men's Football,Bronze
60824,Croatia,CRO,2004,Summer,Athina,Handball,Handball Men's Handball,Gold
60828,Czechoslovakia,TCH,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
60829,Czechoslovakia,TCH,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
60830,Czechoslovakia,TCH,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
60837,Russia,RUS,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
60847,Australia,AUS,2000,Summer,Sydney,Cycling,Cycling Men's Team Sprint,Bronze
60850,Great Britain,GBR,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,Bronze
60851,United States,USA,1920,Summer,Antwerpen,Boxing,Boxing Men's Light-Heavyweight,Gold
60853,United States-1,USA,1932,Winter,Lake Placid,Bobsleigh,Bobsleigh Men's Four,Gold
60866,New Zealand,NZL,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,Gold
60867,New Zealand,NZL,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,Bronze
60868,Great Britain,GBR,1920,Summer,Antwerpen,Rowing,Rowing Men's Coxed Eights,Silver
60889,Canada,CAN,1908,Summer,London,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Bronze
60891,Great Britain-1,GBR,1908,Summer,London,Shooting,"Shooting Men's Trap, Team",Gold
60895,Great Britain,GBR,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
60900,Great Britain,GBR,1908,Summer,London,Tennis,"Tennis Women's Singles, Covered Courts",Gold
60903,United States,USA,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Silver
60905,United States,USA,1908,Summer,London,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
60908,Canada,CAN,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze
60913,United States,USA,2012,Summer,London,Athletics,Athletics Men's Decathlon,Gold
60914,United States,USA,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Gold
60920,Great Britain,GBR,1908,Summer,London,Tennis,Tennis Men's Singles,Bronze
60931,Japan,JPN,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Bronze
60935,K Division Metropolitan Police Team-3,GBR,1908,Summer,London,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze
60940,Denmark,DEN,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
60941,Denmark,DEN,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
60942,Denmark,DEN,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
60943,Denmark,DEN,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
60944,Denmark,DEN,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
60956,Switzerland-1,SUI,1948,Winter,Sankt Moritz,Bobsleigh,Bobsleigh Men's Two,Silver
60959,France,FRA,1936,Summer,Berlin,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Silver
60960,France,FRA,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
60965,Austria,AUT,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
60966,Austria,AUT,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
60967,Austria,AUT,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Silver
60968,Austria,AUT,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
60974,Romania,ROU,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver
60977,Romania,ROU,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,Silver
60999,West Germany,FRG,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
61000,Germany,GER,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Bronze
61002,Czechoslovakia,TCH,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
61009,East Germany,GDR,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Gold
61015,Denmark,DEN,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
61016,Denmark,DEN,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
61017,Denmark,DEN,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
61031,Japan,JPN,2012,Summer,London,Judo,Judo Men's Half-Lightweight,Bronze
61032,Japan,JPN,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Bronze
61058,Switzerland,SUI,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,Silver
61059,Germany,GER,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Welterweight,Silver
61073,United States,USA,1920,Summer,Antwerpen,Athletics,Athletics Men's 800 metres,Silver
61083,Socit Nautique de la Basse Seine-1,FRA,1906,Summer,Athina,Rowing,Rowing Men's Coxed Fours,Silver
61087,Spain,ESP,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Gold
61093,Spain,ESP,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold
61112,Chile,CHI,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
61131,United States,USA,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
61138,West Germany,FRG,1976,Summer,Montreal,Rowing,Rowing Women's Coxless Pairs,Bronze
61139,Germany,GER,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
61149,Great Britain,GBR,1984,Summer,Los Angeles,Judo,Judo Men's Extra-Lightweight,Bronze
61152,United States,USA,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Silver
61158,East Germany,GDR,1976,Summer,Montreal,Athletics,Athletics Women's 200 metres,Gold
61159,East Germany,GDR,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
61160,East Germany,GDR,1980,Summer,Moskva,Athletics,Athletics Women's 200 metres,Gold
61161,East Germany,GDR,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
61181,Norway,NOR,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Gold
61183,Norway,NOR,2014,Winter,Sochi,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Bronze
61185,Norway,NOR,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
61193,Germany,GER,1932,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Silver
61194,Germany,GER,1936,Summer,Berlin,Rowing,Rowing Men's Coxless Fours,Gold
61212,Sweden,SWE,1988,Summer,Seoul,Tennis,Tennis Men's Singles,Bronze
61213,Sweden,SWE,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,Bronze
61219,Great Britain,GBR,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver
61234,Australia,AUS,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze
61235,Australia,AUS,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
61236,Australia,AUS,2004,Summer,Athina,Softball,Softball Women's Softball,Silver
61253,Germany,GER,2010,Winter,Vancouver,Nordic Combined,Nordic Combined Men's Team,Bronze
61260,Brazil,BRA,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
61275,Austria,AUT,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Slalom,Silver
61286,Austria-1,AUT,1968,Winter,Grenoble,Bobsleigh,Bobsleigh Men's Four,Silver
61295,Austria,AUT,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
61300,Austria,AUT,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
61309,United States,USA,1924,Summer,Paris,Swimming,Swimming Women's 100 metres Freestyle,Bronze
61310,United States,USA,1924,Summer,Paris,Swimming,Swimming Women's 400 metres Freestyle,Bronze
61311,United States,USA,1924,Summer,Paris,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
61318,United States,USA,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
61322,Great Britain,GBR,2008,Summer,Beijing,Cycling,Cycling Men's Keirin,Silver
61338,Sweden,SWE,2014,Winter,Sochi,Curling,Curling Men's Curling,Bronze
61348,Sweden,SWE,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
61354,Sweden,SWE,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Team",Gold
61359,Sweden,SWE,1912,Summer,Stockholm,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
61361,Sweden,SWE,2000,Summer,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
61363,Brazil,BRA,1988,Summer,Seoul,Football,Football Men's Football,Silver
61377,Australia,AUS,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
61379,Australia,AUS,2012,Summer,London,Cycling,Cycling Women's Omnium,Bronze
61393,Australia,AUS,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze
61416,Brazil,BRA,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze
61417,Brazil,BRA,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
61419,Sweden,SWE,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
61420,Sweden,SWE,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
61425,Sweden,SWE,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Bronze
61426,Sweden,SWE,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
61428,Sweden,SWE,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Gold
61439,Great Britain,GBR,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,Bronze
61440,Great Britain,GBR,1920,Summer,Antwerpen,Athletics,Athletics Men's 200 metres,Bronze
61445,Australia,AUS,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
61446,Australia,AUS,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
61447,Australia,AUS,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
61467,Great Britain,GBR,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Gold
61468,Great Britain,GBR,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold
61478,Great Britain,GBR,1996,Summer,Atlanta,Athletics,Athletics Men's Triple Jump,Silver
61479,Great Britain,GBR,2000,Summer,Sydney,Athletics,Athletics Men's Triple Jump,Gold
61482,Western Golf Association-1,USA,1904,Summer,St. Louis,Golf,Golf Men's Team,Gold
61492,Great Britain,GBR,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,Bronze
61501,Jamaica,JAM,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
61512,Canada,CAN,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
61513,Canada,CAN,1932,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,Bronze
61514,Canada,CAN,1932,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
61515,Canada,CAN,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
61516,Canada,CAN,1936,Summer,Berlin,Athletics,Athletics Men's 800 metres,Bronze
61523,United States,USA,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Gold
61524,United States,USA,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Gold
61525,United States,USA,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,Bronze
61526,United States,USA,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
61527,United States,USA,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Gold
61530,United States,USA,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
61542,France,FRA,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver
61558,Czechoslovakia,TCH,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Team All-Around,Silver
61565,Germany,GER,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,Gold
61587,Norway,NOR,1992,Summer,Barcelona,Handball,Handball Women's Handball,Silver
61605,Japan,JPN,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
61606,Japan,JPN,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze
61608,United States,USA,1904,Summer,St. Louis,Golf,Golf Men's Individual,Silver
61609,Western Golf Association-1,USA,1904,Summer,St. Louis,Golf,Golf Men's Team,Gold
61610,Ireland,IRL,2008,Summer,Beijing,Boxing,Boxing Men's Light-Heavyweight,Silver
61613,Western Golf Association-1,USA,1904,Summer,St. Louis,Golf,Golf Men's Team,Gold
61619,Nigeria,NGR,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
61621,Nigeria,NGR,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
61636,Germany-2,GER,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Bronze
61644,Hungary,HUN,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Backstroke,Silver
61645,Hungary,HUN,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Backstroke,Gold
61646,Hungary,HUN,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Backstroke,Gold
61647,Hungary,HUN,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Backstroke,Gold
61648,Hungary,HUN,1992,Summer,Barcelona,Swimming,Swimming Women's 400 metres Individual Medley,Gold
61649,Hungary,HUN,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Backstroke,Gold
61650,Hungary,HUN,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
61656,Hungary,HUN,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
61676,Netherlands,NED,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Silver
61713,Switzerland,SUI,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
61716,Switzerland,SUI,2002,Winter,Salt Lake City,Curling,Curling Men's Curling,Bronze
61717,Switzerland,SUI,2010,Winter,Vancouver,Curling,Curling Men's Curling,Bronze
61721,Great Britain,GBR,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
61722,Great Britain,GBR,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
61723,Germany,GER,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Gold
61727,Switzerland,SUI,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Pistol, Team",Bronze
61729,Australia,AUS,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
61752,Sweden,SWE,1952,Summer,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
61754,New Zealand,NZL,1992,Summer,Barcelona,Sailing,Sailing Women's Two Person Dinghy,Silver
61760,Hungary,HUN,1960,Summer,Roma,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
61764,Turkey,TUR,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
61771,Spain,ESP,1920,Summer,Antwerpen,Football,Football Men's Football,Silver
61775,Spain,ESP,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Bronze
61795,Japan,JPN,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
61798,West Germany,FRG,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
61805,Germany,GER,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Silver
61807,Germany,GER,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
61811,Germany-1,GER,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
61818,Switzerland,SUI,1924,Summer,Paris,Football,Football Men's Football,Silver
61820,West Germany,FRG,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
61822,Germany,GER,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
61831,East Germany,GDR,1972,Summer,Munich,Athletics,Athletics Women's 100 metres Hurdles,Gold
61844,East Germany,GDR,1972,Winter,Sapporo,Luge,Luge Men's Singles,Silver
61845,West Germany,FRG,1972,Summer,Munich,Rowing,Rowing Men's Coxless Fours,Bronze
61847,East Germany,GDR,1976,Winter,Innsbruck,Speed Skating,"Speed Skating Women's 3,000 metres",Silver
61850,East Germany,GDR,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Women's 1,000 metres",Silver
61851,East Germany,GDR,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Women's 1,500 metres",Silver
61852,East Germany,GDR,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Women's 3,000 metres",Gold
61855,East Germany,GDR,1988,Winter,Calgary,Speed Skating,"Speed Skating Women's 1,500 metres",Bronze
61856,East Germany,GDR,1988,Winter,Calgary,Speed Skating,"Speed Skating Women's 3,000 metres",Silver
61857,East Germany,GDR,1988,Winter,Calgary,Speed Skating,"Speed Skating Women's 5,000 metres",Silver
61860,Germany,GER,1932,Summer,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
61861,Germany,GER,1936,Summer,Berlin,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
61879,East Germany,GDR,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
61889,Switzerland,SUI,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
61898,West Germany,FRG,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,Gold
